SUMMARY STATISTICS

Total repos processed:,13
Total smells detected:,7717

SMELL TYPE BREAKDOWN
Smell Type,Total Count
cached-repeated-calls,488
long-element-chain,141
long-lambda-expr,52
long-message-chain,693
no-self-use,5417
string-concat-loop,45
too-many-arguments,872
use-a-generator,9

THRESHOLD BREAKDOWN
Smell Type,Threshold,Count
cached-repeated-calls,10/2,2
cached-repeated-calls,11/2,1
cached-repeated-calls,12/2,4
cached-repeated-calls,14/2,1
cached-repeated-calls,15/2,2
cached-repeated-calls,3/2,298
cached-repeated-calls,4/2,94
cached-repeated-calls,5/2,28
cached-repeated-calls,6/2,23
cached-repeated-calls,7/2,11
cached-repeated-calls,8/2,14
cached-repeated-calls,9/2,10
long-element-chain,3/3,116
long-element-chain,4/3,25
long-message-chain,10/3,1
long-message-chain,3/3,549
long-message-chain,4/3,116
long-message-chain,5/3,14
long-message-chain,6/3,7
long-message-chain,7/3,2
long-message-chain,8/3,2
long-message-chain,9/3,2
too-many-arguments,10/6,55
too-many-arguments,11/6,71
too-many-arguments,12/6,47
too-many-arguments,13/6,34
too-many-arguments,14/6,38
too-many-arguments,15/6,49
too-many-arguments,16/6,13
too-many-arguments,17/6,20
too-many-arguments,18/6,3
too-many-arguments,19/6,5
too-many-arguments,20/6,1
too-many-arguments,21/6,2
too-many-arguments,22/6,1
too-many-arguments,23/6,2
too-many-arguments,24/6,2
too-many-arguments,25/6,5
too-many-arguments,27/6,1
too-many-arguments,29/6,2
too-many-arguments,30/6,2
too-many-arguments,47/6,2
too-many-arguments,49/6,1
too-many-arguments,7/6,264
too-many-arguments,8/6,130
too-many-arguments,9/6,122

REPO BREAKDOWN
Repository,Total Smells,Smell Types Present,Smell Types Under Threshold,Smell Types Missing
numpy,5218,8,,
django,730,8,"long-lambda-expr:3, use-a-generator:2",
streamlit,575,6,"long-element-chain:1, string-concat-loop:0, use-a-generator:0","string-concat-loop, use-a-generator"
airflow,443,8,"string-concat-loop:5, use-a-generator:1",
celery,244,6,"long-element-chain:2, long-lambda-expr:0, string-concat-loop:1, use-a-generator:0","long-lambda-expr, use-a-generator"
scrapy,162,6,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:5, long-message-chain:4, string-concat-loop:4, use-a-generator:0","long-element-chain, use-a-generator"
beautifulsoup,104,3,"cached-repeated-calls:3, long-element-chain:0, long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
librosa,102,3,"long-element-chain:0, long-lambda-expr:0, long-message-chain:1, no-self-use:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, no-self-use, string-concat-loop, use-a-generator"
sanic,90,5,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:2, string-concat-loop:0, use-a-generator:0","long-element-chain, string-concat-loop, use-a-generator"
black,17,6,"cached-repeated-calls:3, long-element-chain:2, long-lambda-expr:0, long-message-chain:2, no-self-use:3, string-concat-loop:3, too-many-arguments:4, use-a-generator:0","long-lambda-expr, use-a-generator"
requests,15,3,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
uvicorn,11,5,"cached-repeated-calls:1, long-element-chain:2, long-lambda-expr:0, long-message-chain:1, no-self-use:1, string-concat-loop:0, use-a-generator:0","long-lambda-expr, string-concat-loop, use-a-generator"
tqdm,6,2,"cached-repeated-calls:4, long-element-chain:0, long-lambda-expr:0, long-message-chain:0, no-self-use:0, string-concat-loop:0, too-many-arguments:2, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, no-self-use, string-concat-loop, use-a-generator"
