SUMMARY STATISTICS

Total repos processed:,2
Total smells detected:,41

SMELL TYPE BREAKDOWN
Smell Type,Total Count
cached-repeated-calls,4
long-element-chain,2
long-lambda-expr,0
long-message-chain,1
no-self-use,20
string-concat-loop,0
too-many-arguments,14
use-a-generator,0

THRESHOLD BREAKDOWN
Smell Type,Threshold,Count
cached-repeated-calls,3/2,3
cached-repeated-calls,6/2,1
long-element-chain,3/3,2
long-message-chain,3/3,1
too-many-arguments,11/6,1
too-many-arguments,12/6,1
too-many-arguments,17/6,1
too-many-arguments,47/6,2
too-many-arguments,49/6,1
too-many-arguments,7/6,3
too-many-arguments,8/6,5

REPO BREAKDOWN
Repository,Total Smells,Smell Types Present,Smell Types Under Threshold,Smell Types Missing
beautifulsoup,30,3,"cached-repeated-calls:3, long-element-chain:0, long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
uvicorn,11,5,"cached-repeated-calls:1, long-element-chain:2, long-lambda-expr:0, long-message-chain:1, no-self-use:1, string-concat-loop:0, use-a-generator:0","long-lambda-expr, string-concat-loop, use-a-generator"
