SUMMARY STATISTICS

Total repos processed:,35
Total smells detected:,72566

SMELL TYPE BREAKDOWN
Smell Type,Total Count
cached-repeated-calls,7117
long-element-chain,1591
long-lambda-expr,923
long-message-chain,8251
no-self-use,45713
string-concat-loop,404
too-many-arguments,8439
use-a-generator,128

THRESHOLD BREAKDOWN
Smell Type,Threshold,Count
cached-repeated-calls,10/2,26
cached-repeated-calls,11/2,28
cached-repeated-calls,119/2,1
cached-repeated-calls,12/2,21
cached-repeated-calls,13/2,10
cached-repeated-calls,14/2,10
cached-repeated-calls,15/2,9
cached-repeated-calls,16/2,9
cached-repeated-calls,17/2,6
cached-repeated-calls,18/2,4
cached-repeated-calls,19/2,2
cached-repeated-calls,20/2,8
cached-repeated-calls,21/2,2
cached-repeated-calls,23/2,1
cached-repeated-calls,29/2,2
cached-repeated-calls,3/2,4331
cached-repeated-calls,31/2,4
cached-repeated-calls,32/2,2
cached-repeated-calls,34/2,2
cached-repeated-calls,35/2,1
cached-repeated-calls,366/2,1
cached-repeated-calls,4/2,1578
cached-repeated-calls,41/2,2
cached-repeated-calls,48/2,4
cached-repeated-calls,5/2,462
cached-repeated-calls,50/2,6
cached-repeated-calls,6/2,292
cached-repeated-calls,7/2,141
cached-repeated-calls,723/2,1
cached-repeated-calls,79/2,1
cached-repeated-calls,8/2,86
cached-repeated-calls,9/2,64
long-element-chain,3/3,1173
long-element-chain,4/3,374
long-element-chain,5/3,31
long-element-chain,6/3,9
long-element-chain,7/3,4
long-message-chain,10/3,15
long-message-chain,11/3,7
long-message-chain,12/3,9
long-message-chain,13/3,5
long-message-chain,14/3,1
long-message-chain,16/3,1
long-message-chain,3/3,6690
long-message-chain,33/3,1
long-message-chain,4/3,1074
long-message-chain,5/3,290
long-message-chain,6/3,95
long-message-chain,66/3,1
long-message-chain,7/3,21
long-message-chain,8/3,30
long-message-chain,9/3,11
too-many-arguments,10/6,729
too-many-arguments,105/6,1
too-many-arguments,11/6,528
too-many-arguments,12/6,354
too-many-arguments,13/6,257
too-many-arguments,14/6,213
too-many-arguments,15/6,185
too-many-arguments,16/6,110
too-many-arguments,160/6,1
too-many-arguments,17/6,117
too-many-arguments,18/6,58
too-many-arguments,19/6,42
too-many-arguments,20/6,32
too-many-arguments,21/6,22
too-many-arguments,22/6,37
too-many-arguments,23/6,21
too-many-arguments,24/6,34
too-many-arguments,25/6,25
too-many-arguments,26/6,8
too-many-arguments,27/6,11
too-many-arguments,28/6,15
too-many-arguments,29/6,7
too-many-arguments,30/6,15
too-many-arguments,31/6,5
too-many-arguments,32/6,4
too-many-arguments,33/6,3
too-many-arguments,34/6,3
too-many-arguments,35/6,2
too-many-arguments,36/6,1
too-many-arguments,37/6,2
too-many-arguments,38/6,2
too-many-arguments,40/6,1
too-many-arguments,41/6,1
too-many-arguments,42/6,2
too-many-arguments,44/6,2
too-many-arguments,45/6,2
too-many-arguments,47/6,3
too-many-arguments,48/6,1
too-many-arguments,49/6,1
too-many-arguments,50/6,3
too-many-arguments,51/6,4
too-many-arguments,52/6,2
too-many-arguments,54/6,2
too-many-arguments,55/6,2
too-many-arguments,57/6,1
too-many-arguments,58/6,1
too-many-arguments,60/6,2
too-many-arguments,67/6,1
too-many-arguments,7/6,2669
too-many-arguments,75/6,1
too-many-arguments,8/6,1716
too-many-arguments,9/6,1178

REPO BREAKDOWN
Repository,Total Smells,Smell Types Present,Smell Types Under Threshold,Smell Types Missing
pytorch,19000,8,,
pandas,13084,7,use-a-generator:0,use-a-generator
airflow,13042,8,,
scipy,8763,8,,
numpy,5222,8,,
tensorflow,3713,8,,
streamlit,1663,7,"string-concat-loop:1, use-a-generator:0",use-a-generator
keras,1415,8,use-a-generator:4,
scikit-learn,1134,8,,
matplotlib,964,8,"string-concat-loop:3, use-a-generator:4",
nltk,795,8,use-a-generator:1,
django,725,8,"long-lambda-expr:3, use-a-generator:2",
dask,671,8,long-lambda-expr:5,
geopandas,379,7,"long-lambda-expr:2, string-concat-loop:1, use-a-generator:0",use-a-generator
SeleniumBase,285,8,use-a-generator:3,
celery,251,6,"long-element-chain:2, long-lambda-expr:0, string-concat-loop:1, use-a-generator:0","long-lambda-expr, use-a-generator"
tornado,206,5,"long-element-chain:1, long-lambda-expr:2, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-message-chain, string-concat-loop, use-a-generator"
scrapy,161,6,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:5, long-message-chain:4, string-concat-loop:4, use-a-generator:0","long-element-chain, use-a-generator"
seaborn,159,6,"long-element-chain:0, long-lambda-expr:0, string-concat-loop:1, use-a-generator:3","long-element-chain, long-lambda-expr"
taichi,140,6,"long-element-chain:0, long-lambda-expr:0, no-self-use:3, use-a-generator:1","long-element-chain, long-lambda-expr"
geopy,116,4,"cached-repeated-calls:1, long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
pytest,111,5,"long-element-chain:0, long-lambda-expr:0, string-concat-loop:3, use-a-generator:0","long-element-chain, long-lambda-expr, use-a-generator"
beautifulsoup,105,3,"cached-repeated-calls:3, long-element-chain:0, long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
librosa,102,3,"long-element-chain:0, long-lambda-expr:0, long-message-chain:1, no-self-use:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, no-self-use, string-concat-loop, use-a-generator"
sanic,90,5,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:2, string-concat-loop:0, use-a-generator:0","long-element-chain, string-concat-loop, use-a-generator"
fastapi,59,4,"cached-repeated-calls:3, long-element-chain:0, long-lambda-expr:0, long-message-chain:2, no-self-use:0, string-concat-loop:2, use-a-generator:0","long-element-chain, long-lambda-expr, no-self-use, use-a-generator"
gpiozero,43,4,"cached-repeated-calls:0, long-element-chain:0, long-lambda-expr:1, long-message-chain:3, string-concat-loop:0, use-a-generator:0","cached-repeated-calls, long-element-chain, string-concat-loop, use-a-generator"
rclpy,38,4,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:0, long-message-chain:1, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, string-concat-loop, use-a-generator"
cryptography,37,3,"long-element-chain:0, long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
flask,24,4,"cached-repeated-calls:0, long-element-chain:1, long-lambda-expr:1, long-message-chain:0, string-concat-loop:0, use-a-generator:0","cached-repeated-calls, long-message-chain, string-concat-loop, use-a-generator"
paho.mqtt.python,20,5,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:0, long-message-chain:3, no-self-use:3, string-concat-loop:1, use-a-generator:0","long-element-chain, long-lambda-expr, use-a-generator"
black,17,6,"cached-repeated-calls:3, long-element-chain:2, long-lambda-expr:0, long-message-chain:2, no-self-use:3, string-concat-loop:3, too-many-arguments:4, use-a-generator:0","long-lambda-expr, use-a-generator"
requests,15,3,"cached-repeated-calls:2, long-element-chain:0, long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
uvicorn,11,5,"cached-repeated-calls:1, long-element-chain:2, long-lambda-expr:0, long-message-chain:1, no-self-use:1, string-concat-loop:0, use-a-generator:0","long-lambda-expr, string-concat-loop, use-a-generator"
tqdm,6,2,"cached-repeated-calls:4, long-element-chain:0, long-lambda-expr:0, long-message-chain:0, no-self-use:0, string-concat-loop:0, too-many-arguments:2, use-a-generator:0","long-element-chain, long-lambda-expr, long-message-chain, no-self-use, string-concat-loop, use-a-generator"
