timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-07_21-56-29,gpiozero,long-lambda-expr,e04be5d7,original,30,60.58,0.0,16.2
2025-08-07_21-57-27,gpiozero,long-lambda-expr,e04be5d7,original,30,57.71,0.0,16.2
2025-08-07_21-58-24,gpiozero,long-lambda-expr,e04be5d7,original,30,57.80,0.0,16.2
2025-08-07_22-00-30,gpiozero,long-lambda-expr,e04be5d7,refactored,30,125.61,0.0,16.2
2025-08-08_06-43-49,gpiozero,long-lambda-expr,e04be5d7,original,30,43.10,0.0,15.6
2025-08-08_06-44-31,gpiozero,long-lambda-expr,e04be5d7,refactored,30,41.64,0.0,15.6
2025-08-08_07-07-43,gpiozero,long-lambda-expr,e04be5d7,original,30,32.78,0.0,15.7
2025-08-08_07-08-17,gpiozero,long-lambda-expr,e04be5d7,refactored,30,33.78,0.0,15.7
2025-08-08_07-15-55,gpiozero,long-lambda-expr,e04be5d7,original,30,0.42,0.0,15.7
2025-08-08_07-15-56,gpiozero,long-lambda-expr,e04be5d7,refactored,30,0.50,0.0,15.7
2025-08-08_07-18-46,gpiozero,long-lambda-expr,e04be5d7,original,30,0.72,0.0,16.0
2025-08-08_07-18-47,gpiozero,long-lambda-expr,e04be5d7,refactored,30,0.82,0.0,16.0
2025-08-08_07-19-09,gpiozero,long-lambda-expr,e04be5d7,original,30,0.76,0.0,15.7
2025-08-08_07-19-10,gpiozero,long-lambda-expr,e04be5d7,refactored,30,0.81,0.0,15.9
2025-08-08_07-20-40,gpiozero,long-lambda-expr,e04be5d7,original,30,38.79,0.0,15.7
2025-08-08_07-21-22,gpiozero,long-lambda-expr,e04be5d7,original,30,41.10,0.0,15.9
2025-08-08_07-22-03,gpiozero,long-lambda-expr,e04be5d7,original,30,41.77,0.0,15.9
2025-08-08_07-22-43,gpiozero,long-lambda-expr,e04be5d7,refactored,30,39.91,0.0,15.9
2025-08-08_07-23-23,gpiozero,long-lambda-expr,e04be5d7,refactored,30,39.57,0.0,15.9
2025-08-08_07-23-59,gpiozero,long-lambda-expr,e04be5d7,refactored,30,35.80,0.0,15.9
