timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-13T15:01:11,synth-benchmark,e8a488bd-beaf-43d9-b1bf-ae47b2fc4f79,synth_LLE001_c7496f4f,1.004006311763078,6.5444353587615e-08,6.518320932932375e-08,0.0,0.0,10.0,0.0,0.0,1.3924330550556382e-06,1.3924330550556382e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:13,synth-benchmark,bbedc159-449d-4b63-ad73-70937a4471bd,synth_LLE001_c7496f4f,1.0039330259896817,6.543654670111008e-08,6.51801913146571e-08,0.0,0.0,10.0,0.0,0.0,1.3922669510874484e-06,1.3922669510874484e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:15,synth-benchmark,5da94819-82cd-49b5-ad07-5d04d5e6c7a8,synth_LLE001_c7496f4f,1.0039058476686478,6.543192350978238e-08,6.517735070647687e-08,0.0,0.0,10.0,0.0,0.0,1.3921685853145189e-06,1.3921685853145189e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:17,synth-benchmark,0b08df12-85c4-40af-8155-cff46c9fa87a,synth_LLE001_c7496f4f,1.00383418565616,6.54299116318321e-08,6.517999941301419e-08,0.0,0.0,10.0,0.0,0.0,1.392125779400683e-06,1.392125779400683e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:20,synth-benchmark,7967516a-5e66-44f9-8729-ed52c17b7dd4,synth_LLE001_c7496f4f,1.0040359003469348,6.543577533836168e-08,6.517274463567588e-08,0.0,0.0,10.0,0.0,0.0,1.392250539114078e-06,1.392250539114078e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:22,synth-benchmark,ef3b58f1-ca3e-45a4-bc55-0350c859de2f,synth_LLE001_c7496f4f,1.0040316707454622,6.543725295276899e-08,6.517449086459979e-08,0.0,0.0,10.0,0.0,0.0,1.392281977718489e-06,1.392281977718489e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:24,synth-benchmark,6b042596-9530-4b1f-85cd-ad01dfba2a91,synth_LLE001_c7496f4f,1.0039884131401775,6.543491679605926e-08,6.517497208100068e-08,0.0,0.0,10.0,0.0,0.0,1.3922322722565798e-06,1.3922322722565798e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:26,synth-benchmark,2b618008-f314-44e2-b34f-fe8ccd0019e3,synth_LLE001_c7496f4f,1.0039765294641256,6.543451080926589e-08,6.517533915279046e-08,0.0,0.0,10.0,0.0,0.0,1.3922236342397e-06,1.3922236342397e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:28,synth-benchmark,c720c931-0a32-4c70-a020-06eb601867ec,synth_LLE001_c7496f4f,1.0039202608168123,6.543180617607301e-08,6.51762980884918e-08,0.0,0.0,10.0,0.0,0.0,1.3921660888526174e-06,1.3921660888526174e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:01:30,synth-benchmark,78f3e3b6-0ad5-4724-bb2c-79790978ece5,synth_LLE001_c7496f4f,1.0038801841437817,6.542987369595922e-08,6.517697503090465e-08,0.0,0.0,10.0,0.0,0.0,1.3921249722544516e-06,1.3921249722544516e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
