timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-13_15-28-55,synth,no-self-use,34a8d49c,original,30,167.59,0.0,15.9
2025-08-13_15-28-58,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-01,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-04,synth,no-self-use,34a8d49c,refactored,30,3.08,0.0,15.9
2025-08-13_15-29-07,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-10,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-14,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-17,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-20,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-23,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-26,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-29,synth,no-self-use,34a8d49c,refactored,30,3.05,0.0,15.9
2025-08-13_15-29-33,synth,no-self-use,34a8d49c,refactored,30,3.05,0.0,15.9
2025-08-13_15-29-36,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-39,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-42,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-45,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-48,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-51,synth,no-self-use,34a8d49c,refactored,30,3.07,0.0,15.9
2025-08-13_15-29-55,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-29-58,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-30-01,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-30-04,synth,no-self-use,34a8d49c,refactored,30,3.08,0.0,15.9
2025-08-13_15-30-07,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-30-10,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-30-14,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-30-17,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-30-20,synth,no-self-use,34a8d49c,refactored,30,3.06,0.0,15.9
2025-08-13_15-30-23,synth,no-self-use,34a8d49c,refactored,30,3.07,0.0,15.9
2025-08-13_15-30-26,synth,no-self-use,34a8d49c,refactored,30,3.07,0.0,15.9
2025-08-13_15-30-29,synth,no-self-use,34a8d49c,refactored,30,3.05,0.0,15.9
