timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-07-28_05-00-41,numpy,long-message-chain,64cee6dc,original,30,127.67,0.0,16.2
2025-07-28_05-02-49,numpy,long-message-chain,64cee6dc,original,30,128.19,0.0,16.2
2025-07-28_05-04-57,numpy,long-message-chain,64cee6dc,original,30,127.89,0.0,16.2
2025-07-28_05-07-05,numpy,long-message-chain,64cee6dc,original,30,127.68,0.0,16.2
2025-07-28_05-09-12,numpy,long-message-chain,64cee6dc,original,30,127.45,0.0,16.2
2025-07-28_05-11-20,numpy,long-message-chain,64cee6dc,original,30,127.61,0.0,16.2
2025-07-28_05-13-27,numpy,long-message-chain,64cee6dc,original,30,127.38,0.0,16.2
2025-07-28_05-15-35,numpy,long-message-chain,64cee6dc,original,30,127.25,0.0,16.2
2025-07-28_05-17-42,numpy,long-message-chain,64cee6dc,original,30,127.27,0.0,16.2
2025-07-28_05-19-51,numpy,long-message-chain,64cee6dc,original,30,128.65,10.0,16.2
2025-07-28_05-21-58,numpy,long-message-chain,64cee6dc,original,30,127.31,0.0,16.2
2025-07-28_05-24-06,numpy,long-message-chain,64cee6dc,original,30,127.70,0.0,16.2
2025-07-28_05-26-14,numpy,long-message-chain,64cee6dc,refactored,30,128.01,0.0,16.2
2025-07-28_05-28-22,numpy,long-message-chain,64cee6dc,refactored,30,127.48,0.0,16.2
2025-07-28_05-30-29,numpy,long-message-chain,64cee6dc,refactored,30,127.49,0.0,16.2
2025-07-28_05-32-37,numpy,long-message-chain,64cee6dc,refactored,30,127.02,0.0,16.2
2025-07-28_05-34-45,numpy,long-message-chain,64cee6dc,refactored,30,128.09,0.0,16.2
2025-07-28_05-36-52,numpy,long-message-chain,64cee6dc,refactored,30,127.56,0.0,16.2
2025-07-28_05-39-00,numpy,long-message-chain,64cee6dc,refactored,30,127.61,0.0,16.2
2025-07-28_05-41-08,numpy,long-message-chain,64cee6dc,refactored,30,127.79,0.0,16.2
2025-07-28_05-43-16,numpy,long-message-chain,64cee6dc,refactored,30,127.76,0.0,16.2
2025-07-28_05-45-24,numpy,long-message-chain,64cee6dc,refactored,30,127.81,10.0,16.2
2025-07-28_05-47-32,numpy,long-message-chain,64cee6dc,refactored,30,127.69,0.0,16.2
2025-07-28_05-49-39,numpy,long-message-chain,64cee6dc,refactored,30,127.76,0.0,16.2
2025-07-28_05-51-48,numpy,long-message-chain,64cee6dc,refactored,30,127.98,0.0,16.2
2025-07-28_05-53-55,numpy,long-message-chain,64cee6dc,refactored,30,127.53,0.0,16.2
2025-07-28_05-56-02,numpy,long-message-chain,64cee6dc,refactored,30,127.21,0.0,16.2
2025-07-28_05-58-10,numpy,long-message-chain,64cee6dc,refactored,30,127.84,0.0,16.2
2025-07-28_06-00-18,numpy,long-message-chain,64cee6dc,refactored,30,127.45,0.0,16.2
2025-07-28_06-02-26,numpy,long-message-chain,64cee6dc,refactored,30,127.66,0.0,16.2
