timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-07_22-10-42,gpiozero,too-many-arguments,068d4643,original,30,53.40,0.0,16.2
2025-08-07_22-11-37,gpiozero,too-many-arguments,068d4643,original,30,54.36,0.0,16.2
2025-08-07_22-12-30,gpiozero,too-many-arguments,068d4643,original,30,53.22,0.0,16.2
2025-08-07_22-13-23,gpiozero,too-many-arguments,068d4643,original,30,53.24,0.0,16.2
2025-08-07_22-14-17,gpiozero,too-many-arguments,068d4643,refactored,30,53.22,0.0,16.2
2025-08-07_22-15-10,gpiozero,too-many-arguments,068d4643,refactored,30,53.13,0.0,16.2
2025-08-07_22-16-04,gpiozero,too-many-arguments,068d4643,refactored,30,54.15,0.0,16.2
2025-08-07_22-16-57,gpiozero,too-many-arguments,068d4643,refactored,30,53.25,0.0,16.4
2025-08-08_06-46-38,gpiozero,too-many-arguments,068d4643,original,30,42.83,0.0,15.6
2025-08-08_06-47-22,gpiozero,too-many-arguments,068d4643,refactored,30,43.71,0.0,15.6
2025-08-08_07-19-11,gpiozero,too-many-arguments,068d4643,original,30,0.53,0.0,15.9
2025-08-08_07-19-12,gpiozero,too-many-arguments,068d4643,refactored,30,0.47,0.0,15.9
2025-08-08_07-33-05,gpiozero,too-many-arguments,068d4643,original,30,40.29,0.0,15.9
2025-08-08_07-33-47,gpiozero,too-many-arguments,068d4643,original,30,41.97,0.0,15.9
2025-08-08_07-34-27,gpiozero,too-many-arguments,068d4643,original,30,40.17,0.0,15.9
2025-08-08_07-35-07,gpiozero,too-many-arguments,068d4643,original,30,39.70,0.0,15.9
2025-08-08_07-35-47,gpiozero,too-many-arguments,068d4643,refactored,30,39.71,0.0,15.9
2025-08-08_07-36-26,gpiozero,too-many-arguments,068d4643,refactored,30,39.63,0.0,15.9
2025-08-08_07-37-06,gpiozero,too-many-arguments,068d4643,refactored,30,39.65,0.0,15.9
2025-08-08_07-37-46,gpiozero,too-many-arguments,068d4643,refactored,30,39.52,0.0,15.9
