timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-07T11:52:32,scipy-benchmark,6ad77f93-517e-43ba-8b5b-41baad39d94a,scipy_LMC001_f7d9627c,1.0016840628813952,7.062793419476494e-08,7.050919228124696e-08,0.8,0.0,10.0,1.1137991264048553e-07,0.0,1.3913420915034495e-06,1.502722004143935e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:34,scipy-benchmark,77bd5a0a-4014-478a-94d8-a88a5005fb7b,scipy_LMC001_f7d9627c,1.0016653081402185,7.063026796467602e-08,7.051284235431347e-08,0.8,0.0,10.0,1.1137115334471068e-07,0.0,1.3914005054781835e-06,1.502771658822894e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:36,scipy-benchmark,1d0c179a-f86e-438d-a469-c8021ed7ffa2,scipy_LMC001_f7d9627c,1.001705870963633,7.062090775494776e-08,7.050064275555359e-08,0.8,0.0,10.0,1.113740917709139e-07,0.0,1.3911984136535062e-06,1.5025725054244202e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:39,scipy-benchmark,3206e31e-8df3-4efc-9392-e39e5ebfefe2,scipy_LMC001_f7d9627c,1.0017596939578652,7.062996030231526e-08,7.050589151102937e-08,0.8,0.0,10.0,1.1137981247156861e-07,0.0,1.3913853003436493e-06,1.502765112815218e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:41,scipy-benchmark,3ca65d17-1285-4f7a-bb14-48ab62d70a4f,scipy_LMC001_f7d9627c,1.0016425650101155,7.062047337461263e-08,7.050466487903243e-08,0.8,0.0,10.0,1.1135641599280966e-07,0.0,1.3912068472968208e-06,1.5025632632896305e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:43,scipy-benchmark,6ba41bd6-907a-44b2-8d50-aeccf1a31086,scipy_LMC001_f7d9627c,1.001739976927638,7.063372202468518e-08,7.051103445159554e-08,0.8,0.0,10.0,1.1138700223010449e-07,0.0,1.3914581472312824e-06,1.502845149461387e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:45,scipy-benchmark,34a2d725-1968-46eb-b487-ddf84d091b47,scipy_LMC001_f7d9627c,1.0019877820741383,7.066452063027667e-08,7.052433362410811e-08,0.8,0.0,10.0,1.1143401130619977e-07,0.0,1.3920664276358569e-06,1.503500438942057e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:47,scipy-benchmark,e306ce23-494f-4e48-a725-be2669842252,scipy_LMC001_f7d9627c,1.0017249009106308,7.063537785623016e-08,7.051374862701147e-08,0.8,0.0,10.0,1.1138954132588373e-07,0.0,1.3914908385939068e-06,1.5028803799197909e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:49,scipy-benchmark,e35a23ff-b90a-40f4-a2ce-5bf1fd24ad2f,scipy_LMC001_f7d9627c,1.001665457850322,7.062276778119204e-08,7.050534410236708e-08,0.8,0.0,10.0,1.1136712201146617e-07,0.0,1.391244958439428e-06,1.502612080450894e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
2025-08-07T11:52:52,scipy-benchmark,896037d3-8ff6-4a00-b061-57ca065160cb,scipy_LMC001_f7d9627c,1.0017011750023812,7.0625569307711e-08,7.05056268977054e-08,0.8,0.0,10.0,1.1137170913732716e-07,0.0,1.3912999782607788e-06,1.502671687398106e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.12.11,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,machine,Y,1.0
