timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-13_15-33-17,synth,no-self-use,dd5452c6,original,30,167.10,0.0,15.9
2025-08-13_15-33-20,synth,no-self-use,dd5452c6,refactored,30,3.05,0.0,15.9
2025-08-13_15-33-23,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-26,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-29,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-32,synth,no-self-use,dd5452c6,refactored,30,3.05,0.0,15.9
2025-08-13_15-33-36,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-39,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-42,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-45,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-48,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-51,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-33-55,synth,no-self-use,dd5452c6,refactored,30,3.05,0.0,15.9
2025-08-13_15-33-58,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-01,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-04,synth,no-self-use,dd5452c6,refactored,30,3.07,0.0,15.9
2025-08-13_15-34-07,synth,no-self-use,dd5452c6,refactored,30,3.05,0.0,15.9
2025-08-13_15-34-10,synth,no-self-use,dd5452c6,refactored,30,3.07,0.0,15.9
2025-08-13_15-34-14,synth,no-self-use,dd5452c6,refactored,30,3.05,0.0,15.9
2025-08-13_15-34-17,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-20,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-23,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-26,synth,no-self-use,dd5452c6,refactored,30,3.08,0.0,15.9
2025-08-13_15-34-29,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-32,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-36,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-39,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-42,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-45,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-48,synth,no-self-use,dd5452c6,refactored,30,3.06,0.0,15.9
2025-08-13_15-34-51,synth,no-self-use,dd5452c6,refactored,30,3.07,0.0,15.9
