timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-13T15:51:43,synth-benchmark,f758499d-1fbc-4e13-ab76-9ef3935813a2,synth_SCL001_7196cd51,1.0040705711580813,6.54507572723863e-08,6.518541540052937e-08,0.0,0.0,10.0,0.0,0.0,1.3925693036677935e-06,1.3925693036677935e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:51:45,synth-benchmark,ff0ce036-ee4f-4aad-ae4b-b24e38e23720,synth_SCL001_7196cd51,1.0039273891597986,6.54464341635402e-08,6.519040606942027e-08,0.0,0.0,10.0,0.0,0.0,1.3924773226285149e-06,1.3924773226285149e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:51:48,synth-benchmark,663fda57-4f8e-430d-8690-4e1d178e4d38,synth_SCL001_7196cd51,1.003863211721182,6.543479587546447e-08,6.518298022224833e-08,0.0,0.0,10.0,0.0,0.0,1.3922296994779674e-06,1.3922296994779674e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:51:50,synth-benchmark,10700177-e48c-4216-8a61-95b6b19e439e,synth_SCL001_7196cd51,1.003742651082575,6.542859506250049e-08,6.518463172998899e-08,0.0,0.0,10.0,0.0,0.0,1.3920977672872446e-06,1.3920977672872446e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:51:52,synth-benchmark,3b5c43fe-ffb6-4da9-b77d-33062890611f,synth_SCL001_7196cd51,1.0038581732660532,6.542878984861699e-08,6.517732443791774e-08,0.0,0.0,10.0,0.0,0.0,1.3921019116727015e-06,1.3921019116727015e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:51:54,synth-benchmark,e61f06c2-8109-48ef-8b0d-32e77cfb34f2,synth_SCL001_7196cd51,1.0037724222056568,6.543424890583588e-08,6.518833099842769e-08,0.0,0.0,10.0,0.0,0.0,1.3922180618262952e-06,1.3922180618262952e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:51:56,synth-benchmark,93b53f86-6464-4cd6-a368-70d5694ebde6,synth_SCL001_7196cd51,1.0038664122112095,6.54349669516604e-08,6.51829428255571e-08,0.0,0.0,10.0,0.0,0.0,1.3922333393970297e-06,1.3922333393970297e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:51:58,synth-benchmark,84cdc1fc-fe91-44ab-b915-ee5eb5206e8c,synth_SCL001_7196cd51,1.0038021388463676,6.543408305798143e-08,6.518623593807278e-08,0.0,0.0,10.0,0.0,0.0,1.3922145331485409e-06,1.3922145331485409e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:00,synth-benchmark,0a843121-586f-4e0a-ac7b-9ee142391f11,synth_SCL001_7196cd51,1.0039476281963289,6.543664366860565e-08,6.517933986872177e-08,0.0,0.0,10.0,0.0,0.0,1.3922690142256515e-06,1.3922690142256515e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:02,synth-benchmark,beac77cc-d88b-4142-b2b5-b959996a56fd,synth_SCL001_7196cd51,1.0039232466369867,6.543356095337205e-08,6.517785216406338e-08,0.0,0.0,10.0,0.0,0.0,1.392203424539831e-06,1.392203424539831e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:04,synth-benchmark,bfa4ae55-48b6-4d9b-82a7-6b1f89aa36bb,synth_SCL001_7196cd51,1.003984791226685,6.544319131515092e-08,6.51834488799291e-08,0.0,0.0,10.0,0.0,0.0,1.3924083258542749e-06,1.3924083258542749e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:07,synth-benchmark,0fafa61f-f6d1-41bd-a906-8dbda7fc7dae,synth_SCL001_7196cd51,1.0039629298262298,6.543644663308643e-08,6.517815019764969e-08,0.0,0.0,10.0,0.0,0.0,1.3922648219805626e-06,1.3922648219805626e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:09,synth-benchmark,0a5685eb-bd4c-4f0c-89b9-441f8e1f6787,synth_SCL001_7196cd51,1.0037765502929688,6.543211288517342e-08,6.518593492354048e-08,0.0,0.0,10.0,0.0,0.0,1.3921726145781575e-06,1.3921726145781575e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:11,synth-benchmark,4fad7bd5-ad41-4ed9-a2c9-dca64aa8124d,synth_SCL001_7196cd51,1.0038285907357931,6.543409308910164e-08,6.518452820828633e-08,0.0,0.0,10.0,0.0,0.0,1.3922147465766305e-06,1.3922147465766305e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:13,synth-benchmark,cfcb9493-83fe-44de-bbe3-4bed397f993a,synth_SCL001_7196cd51,1.003824362065643,6.54349090751364e-08,6.518561567930689e-08,0.0,0.0,10.0,0.0,0.0,1.3922321079816255e-06,1.3922321079816255e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:15,synth-benchmark,15f24e21-3a8a-4165-a562-9194b156a1b6,synth_SCL001_7196cd51,1.0037185959517956,6.541506533071191e-08,6.517271433900337e-08,0.0,0.0,10.0,0.0,0.0,1.391809900653445e-06,1.391809900653445e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:17,synth-benchmark,e2bf28ef-079d-44c4-84bc-58f663fcb73b,synth_SCL001_7196cd51,1.0039756707847118,6.544143921281728e-08,6.518229586347243e-08,0.0,0.0,10.0,0.0,0.0,1.3923710470812187e-06,1.3923710470812187e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:19,synth-benchmark,f6fc9e4f-8860-4ac0-bee1-e3fa856884af,synth_SCL001_7196cd51,1.003822247032076,6.543315107571996e-08,6.518400171861215e-08,0.0,0.0,10.0,0.0,0.0,1.3921947037387226e-06,1.3921947037387226e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T15:52:21,synth-benchmark,eaacdc4f-186a-43d8-ab73-f54bdc1b30ee,synth_SCL001_7196cd51,1.0038920240476727,6.544167570407607e-08,6.518796258607228e-08,0.0,0.0,10.0,0.0,0.0,1.392376078810129e-06,1.392376078810129e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
