timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-13T18:22:28,synth-benchmark,0b0a91ff-d8cc-4224-9a8c-b7ae6c9a84b1,synth_LLE001_c7496f4f,1.004114265087992,6.545125481594975e-08,6.518307436874645e-08,0.0,0.0,10.0,0.0,0.0,1.3925798897010585e-06,1.3925798897010585e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:30,synth-benchmark,e0d4758f-77d1-46aa-8b29-c4d4aa7366b4,synth_LLE001_c7496f4f,1.0041892230510712,6.545866823936295e-08,6.518559125786778e-08,0.0,0.0,10.0,0.0,0.0,1.3927376221141054e-06,1.3927376221141054e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:32,synth-benchmark,cecf7099-7680-4165-9f89-72aa0e3efecb,synth_LLE001_c7496f4f,1.0039492519572375,6.543436842815329e-08,6.51769681590842e-08,0.0,0.0,10.0,0.0,0.0,1.3922206048543257e-06,1.3922206048543257e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:35,synth-benchmark,2dac8181-41b6-4b02-9a45-ccc35a65a2c4,synth_LLE001_c7496f4f,1.0039198803715408,6.543107718720827e-08,6.517559664521524e-08,0.0,0.0,10.0,0.0,0.0,1.3921505784512395e-06,1.3921505784512395e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:37,synth-benchmark,6b69d9ac-fc59-46a2-9cac-95faac2c3b7a,synth_LLE001_c7496f4f,1.0039987601339817,6.543528460380107e-08,6.517466674467688e-08,0.0,0.0,10.0,0.0,0.0,1.3922400979532137e-06,1.3922400979532137e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:39,synth-benchmark,88c03cb1-4b48-407b-943b-a5dd1aedc2b2,synth_LLE001_c7496f4f,1.00387420412153,6.542790911626072e-08,6.517540628859503e-08,0.0,0.0,10.0,0.0,0.0,1.3920831726863982e-06,1.3920831726863982e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:41,synth-benchmark,ea8d75a5-5b05-450b-97a2-af58d57eaa92,synth_LLE001_c7496f4f,1.0040831328369677,6.543920081393379e-08,6.517309042831925e-08,0.0,0.0,10.0,0.0,0.0,1.3923234215730594e-06,1.3923234215730594e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:43,synth-benchmark,34388835-98b0-46fc-8548-52cf30fe4dad,synth_LLE001_c7496f4f,1.0039647580124438,6.542593797073802e-08,6.51675643478385e-08,0.0,0.0,10.0,0.0,0.0,1.392041233419958e-06,1.392041233419958e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:45,synth-benchmark,3c382d24-717f-4db6-b77b-cdafa3c94c94,synth_LLE001_c7496f4f,1.003730210941285,6.543034759039681e-08,6.518718563730098e-08,0.0,0.0,10.0,0.0,0.0,1.3921350551148257e-06,1.3921350551148257e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:22:47,synth-benchmark,bb7fcf3b-8d5c-42a3-976d-f81d0a136750,synth_LLE001_c7496f4f,1.0039143608883023,6.543508872338054e-08,6.517995087298189e-08,0.0,0.0,10.0,0.0,0.0,1.3922359302846923e-06,1.3922359302846923e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
