timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-12T05:27:38,synth-benchmark,0d2084ba-e776-4973-846b-2f5b715a501a,synth_SCL001_a1897552,1.004285203292966,6.546254274435343e-08,6.518321939794323e-08,0.0,0.0,10.0,0.0,0.0,1.3928200583904982e-06,1.3928200583904982e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:41,synth-benchmark,acba7c12-6dc9-4f3c-9b00-4e2f98bbd911,synth_SCL001_a1897552,1.003949322272092,6.543763717507116e-08,6.51802194825688e-08,0.0,0.0,10.0,0.0,0.0,1.3922901526610883e-06,1.3922901526610883e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:43,synth-benchmark,a11623d5-ec0f-41ac-a908-1106ce1b63aa,synth_SCL001_a1897552,1.0039999773725867,6.544681710915433e-08,6.518607428699857e-08,0.0,0.0,10.0,0.0,0.0,1.392485470407539e-06,1.392485470407539e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:45,synth-benchmark,f358310b-7b30-44e8-8b4f-94c5146b75df,synth_SCL001_a1897552,1.0040107532404363,6.544743563410724e-08,6.51859907106335e-08,0.0,0.0,10.0,0.0,0.0,1.39249863051292e-06,1.39249863051292e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:47,synth-benchmark,2f11a3b4-32af-4a97-81b3-526079b1fee7,synth_SCL001_a1897552,1.0039633680135012,6.544240596962888e-08,6.518405756090178e-08,0.0,0.0,10.0,0.0,0.0,1.3923916163750822e-06,1.3923916163750822e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:49,synth-benchmark,c519135a-7747-4491-b123-f6f8a47fa92e,synth_SCL001_a1897552,1.0039876103401184,6.544339053927817e-08,6.518346428309818e-08,0.0,0.0,10.0,0.0,0.0,1.392412564665493e-06,1.392412564665493e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:51,synth-benchmark,deaebdfb-0528-4669-a65b-5d9f64ddc120,synth_SCL001_a1897552,1.0039981799200175,6.544158360015395e-08,6.518097832146198e-08,0.0,0.0,10.0,0.0,0.0,1.3923741191522116e-06,1.3923741191522116e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:53,synth-benchmark,db2428d8-5f09-49ee-91f7-b03e985baab6,synth_SCL001_a1897552,1.0039900606498122,6.544173710669081e-08,6.518165833667218e-08,0.0,0.0,10.0,0.0,0.0,1.3923773852487406e-06,1.3923773852487406e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:55,synth-benchmark,234623ab-e1b4-4ed4-809a-58d6359841a4,synth_SCL001_a1897552,1.0040053129196167,6.544458235795093e-08,6.518350203510388e-08,0.0,0.0,10.0,0.0,0.0,1.3924379225095942e-06,1.3924379225095942e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:27:57,synth-benchmark,22ca08b0-2dd8-4e38-bb30-7e5970828325,synth_SCL001_a1897552,1.004119975026697,6.545057409805142e-08,6.518202577964976e-08,0.0,0.0,10.0,0.0,0.0,1.3925654063415195e-06,1.3925654063415195e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
