timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-13T17:45:04,synth-benchmark,350b20b2-009a-4279-856b-7a05a32b63ab,synth_LLE001_9acefbaf,1.0043054297566414,6.545035900651581e-08,6.516977511749134e-08,0.0,0.0,10.0,0.0,0.0,1.3925608299258683e-06,1.3925608299258683e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:06,synth-benchmark,5a500cf2-7e29-4680-97b6-ed9d99d3395f,synth_LLE001_9acefbaf,1.0040479213930666,6.543759881363562e-08,6.517378047339035e-08,0.0,0.0,10.0,0.0,0.0,1.3922893364603322e-06,1.3922893364603322e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:09,synth-benchmark,20c606d2-035e-4532-b2e9-82e573dbff20,synth_LLE001_9acefbaf,1.0040981769561768,6.54392109058487e-08,6.517212400904971e-08,0.0,0.0,10.0,0.0,0.0,1.392323636294653e-06,1.392323636294653e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:11,synth-benchmark,c7422f13-8f3f-42d6-9fc3-d8ef0351432b,synth_LLE001_9acefbaf,1.004023723769933,6.543500738011468e-08,6.517277015568685e-08,0.0,0.0,10.0,0.0,0.0,1.3922341995769078e-06,1.3922341995769078e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:13,synth-benchmark,63f8055d-99a7-4616-84eb-bd6a32a4c4bd,synth_LLE001_9acefbaf,1.0040040612220764,6.543575971413197e-08,6.517479584144648e-08,0.0,0.0,10.0,0.0,0.0,1.392250206683659e-06,1.392250206683659e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:15,synth-benchmark,c3291ff1-4cb9-41c6-a329-c8d3b6673574,synth_LLE001_9acefbaf,1.0038886680267751,6.543331868661981e-08,6.51798558651273e-08,0.0,0.0,10.0,0.0,0.0,1.392198269928081e-06,1.392198269928081e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:17,synth-benchmark,e75d526f-1d98-44c6-8ddb-2fc2b0d43426,synth_LLE001_9acefbaf,1.0040138899348676,6.543397575539227e-08,6.517238099129994e-08,0.0,0.0,10.0,0.0,0.0,1.3922122501147289e-06,1.3922122501147289e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:19,synth-benchmark,56462403-d197-4431-9db1-ac6dd5bb9025,synth_LLE001_9acefbaf,1.0039230729453266,6.543257759961612e-08,6.517688392961117e-08,0.0,0.0,10.0,0.0,0.0,1.3921825021194916e-06,1.3921825021194916e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:21,synth-benchmark,e0529f22-c48d-4ee2-9e33-ef09f53f6629,synth_LLE001_9acefbaf,1.0039389301091433,6.543817156020344e-08,6.518142647689669e-08,0.0,0.0,10.0,0.0,0.0,1.39230152255752e-06,1.39230152255752e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T17:45:23,synth-benchmark,402cc520-e7cb-4c1e-9630-70e7da2ffe5c,synth_LLE001_9acefbaf,1.0039508901536465,6.543233040849575e-08,6.517483180724296e-08,0.0,0.0,10.0,0.0,0.0,1.3921772427339522e-06,1.3921772427339522e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
