timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-13_20-06-44,synth,no-self-use,dd5452c6,original,30,562.90,0.0,15.9
2025-08-13_20-06-48,synth,no-self-use,dd5452c6,refactored,30,4.29,0.0,15.9
2025-08-13_20-06-52,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-06-57,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-07-01,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-07-06,synth,no-self-use,dd5452c6,refactored,30,4.37,0.0,15.9
2025-08-13_20-07-10,synth,no-self-use,dd5452c6,refactored,30,4.32,0.0,15.9
2025-08-13_20-07-15,synth,no-self-use,dd5452c6,refactored,30,4.33,0.0,15.9
2025-08-13_20-07-19,synth,no-self-use,dd5452c6,refactored,30,4.29,0.0,15.9
2025-08-13_20-07-23,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-07-28,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-07-32,synth,no-self-use,dd5452c6,refactored,30,4.29,0.0,15.9
2025-08-13_20-07-37,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-07-41,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-07-45,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-07-50,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-07-54,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-07-59,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-08-03,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-08-07,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-08-12,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-08-16,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-08-21,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-08-25,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-08-29,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-08-34,synth,no-self-use,dd5452c6,refactored,30,4.29,0.0,15.9
2025-08-13_20-08-38,synth,no-self-use,dd5452c6,refactored,30,4.28,0.0,15.9
2025-08-13_20-08-43,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-08-47,synth,no-self-use,dd5452c6,refactored,30,4.31,0.0,15.9
2025-08-13_20-08-51,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
2025-08-13_20-08-56,synth,no-self-use,dd5452c6,refactored,30,4.30,0.0,15.9
