timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-12T05:33:14,synth-benchmark,71f1fcf4-cfce-40af-a40a-a6f58d9aca0d,synth_SCL001_7870bf53,1.017042608000338,6.712398448208763e-08,6.59991862229486e-08,0.0,0.0,10.0,0.0,0.0,1.4281698825976088e-06,1.4281698825976088e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:16,synth-benchmark,1cca7975-d242-431b-ae1b-e9b86f6ad4fb,synth_SCL001_7870bf53,1.0162933780811727,6.756968399309036e-08,6.648639600571469e-08,0.08,0.0,10.0,1.1451156892710264e-08,0.0,1.426201694024106e-06,1.4376528509168165e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:18,synth-benchmark,9db492f5-4031-402a-a94a-23ce5e436bf6,synth_SCL001_7870bf53,1.01619982579723,6.702337617623724e-08,6.595491799425966e-08,0.0,0.0,10.0,0.0,0.0,1.426029280345473e-06,1.426029280345473e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:20,synth-benchmark,8cdfa483-a04c-45d2-995b-e1bc56715bba,synth_SCL001_7870bf53,1.016345248091966,6.704607471668472e-08,6.596781442384225e-08,0.0,0.0,10.0,0.0,0.0,1.4265122280145685e-06,1.4265122280145685e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:22,synth-benchmark,fb38fb17-e836-4591-b861-33298b36387b,synth_SCL001_7870bf53,1.0160234030336142,6.699957032170562e-08,6.594294001659821e-08,0.0,0.0,10.0,0.0,0.0,1.4255227728022469e-06,1.4255227728022469e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:24,synth-benchmark,ba3048dc-f48e-468b-b5dd-953c409edea6,synth_SCL001_7870bf53,1.016420224215835,6.703486655088558e-08,6.595192121703672e-08,0.0,0.0,10.0,0.0,0.0,1.4262737564018205e-06,1.4262737564018205e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:27,synth-benchmark,9e7642de-52b3-440f-a9f2-732224a76f1a,synth_SCL001_7870bf53,1.016030934639275,6.700049105695346e-08,6.594335740450746e-08,0.0,0.0,10.0,0.0,0.0,1.4255423629139031e-06,1.4255423629139031e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:29,synth-benchmark,b482b5e5-ba76-4b77-bd12-7c8c8265014f,synth_SCL001_7870bf53,1.015935342758894,6.69884777873651e-08,6.593773734207324e-08,0.0,0.0,10.0,0.0,0.0,1.4252867614333e-06,1.4252867614333e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:31,synth-benchmark,bbc54b84-001a-40d3-bd58-3a94988383ef,synth_SCL001_7870bf53,1.0159991518594325,6.700315064129731e-08,6.594803796703117e-08,0.0,0.0,10.0,0.0,0.0,1.4255989498148362e-06,1.4255989498148362e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-12T05:33:33,synth-benchmark,af9663c5-566c-45be-a72f-6161f07e1c79,synth_SCL001_7870bf53,1.0162988640367985,6.704228988382966e-08,6.596710107254647e-08,0.0,0.0,10.0,0.0,0.0,1.42643169965595e-06,1.42643169965595e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
