timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-13T20:09:00,synth-benchmark,8db17ba5-9866-4f96-8fbb-db97d4f218d0,synth_SCL001_a1897552,1.0043061878532171,6.547636070366328e-08,6.519561613338669e-08,0.0,0.0,10.0,0.0,0.0,1.3931140575247506e-06,1.3931140575247506e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:02,synth-benchmark,3878a7fb-7191-4783-92cb-a3f6bbc14b84,synth_SCL001_a1897552,1.004251669626683,6.547107697826706e-08,6.519389407896633e-08,0.0,0.0,10.0,0.0,0.0,1.3930016378354694e-06,1.3930016378354694e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:04,synth-benchmark,ee992e1c-6d46-4f5e-a1ec-2a6e6c7f212d,synth_SCL001_a1897552,1.0041253953240812,6.546108014622911e-08,6.519213680986683e-08,0.0,0.0,10.0,0.0,0.0,1.3927889392814704e-06,1.3927889392814704e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:06,synth-benchmark,be95972e-037d-45d4-9202-416fa21b7edb,synth_SCL001_a1897552,1.0041051432490349,6.545739586775503e-08,6.518978247233268e-08,0.0,0.0,10.0,0.0,0.0,1.3927105503777665e-06,1.3927105503777665e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:09,synth-benchmark,9ca87f84-434e-4dc9-8252-f022544439a5,synth_SCL001_a1897552,1.0041597071103752,6.546237957146432e-08,6.519120325973091e-08,0.0,0.0,10.0,0.0,0.0,1.3928165866269006e-06,1.3928165866269006e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:11,synth-benchmark,baffdb6f-723b-49f9-a311-ee2ee68d3921,synth_SCL001_a1897552,1.0043452503159642,6.546208021851878e-08,6.517886174891014e-08,0.0,0.0,10.0,0.0,0.0,1.3928102174152932e-06,1.3928102174152932e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:13,synth-benchmark,c9d5ca5b-e608-4dfb-8c99-75668e6e1bd4,synth_SCL001_a1897552,1.0039433441124856,6.545245848958277e-08,6.519537070833874e-08,0.0,0.0,10.0,0.0,0.0,1.3926054997783567e-06,1.3926054997783567e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:15,synth-benchmark,4df4e14f-643c-4ad5-b242-b8ca61b2f516,synth_SCL001_a1897552,1.003985574003309,6.545932573369809e-08,6.519946842730466e-08,0.0,0.0,10.0,0.0,0.0,1.3927516113552782e-06,1.3927516113552782e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:17,synth-benchmark,58283faa-3441-4b6b-a942-4131f42d9371,synth_SCL001_a1897552,1.0039984858594837,6.545520798924068e-08,6.519452858856361e-08,0.0,0.0,10.0,0.0,0.0,1.3926639997710784e-06,1.3926639997710784e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T20:09:19,synth-benchmark,7bb7268e-ce3a-4231-9b74-233ed9df5ee8,synth_SCL001_a1897552,1.0041076219640672,6.545400370766099e-08,6.518624326307854e-08,0.0,0.0,10.0,0.0,0.0,1.3926383767587445e-06,1.3926383767587445e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
